"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,Sales,"Year ( Order Date )","Month ( Order date )","Month number"
1165,CA-2015-127964,"Tuesday, March 3, 2015","Sunday, March 8, 2015","Standard Class",AP-10720,"Anne Pryor","Home Office","United States","New York City","New York",10035,East,OFF-BI-10003429,"Office Supplies",Binders,25.32,2015,March,3
1243,US-2017-162859,"Wednesday, February 15, 2017","Wednesday, February 22, 2017","Standard Class",PG-18820,"Patrick Gardner",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10004519,"Office Supplies",Binders,398.352,2017,February,2
1289,CA-2017-154711,"Wednesday, November 22, 2017","Sunday, November 26, 2017","Standard Class",TB-21355,"Todd Boyes",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10000605,"Office Supplies",Binders,12.192,2017,November,11
1414,CA-2015-146640,"Tuesday, June 30, 2015","Sunday, July 5, 2015","Standard Class",HA-14905,"Helen Abelman",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10002867,"Office Supplies",Binders,334.768,2015,June,6
1507,CA-2018-154935,"Monday, December 24, 2018","Saturday, December 29, 2018","Standard Class",AR-10540,"Andy Reiter",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10003708,"Office Supplies",Binders,17.88,2018,December,12
1716,CA-2017-154788,"Sunday, April 30, 2017","Thursday, May 4, 2017","Standard Class",JL-15835,"John Lee",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10003314,"Office Supplies",Binders,7.712,2017,April,4
1721,CA-2017-169943,"Friday, May 19, 2017","Wednesday, May 24, 2017","Standard Class",BN-11515,"Bradley Nguyen",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10002824,"Office Supplies",Binders,47.744,2017,May,5
1951,CA-2018-157987,"Sunday, September 2, 2018","Thursday, September 6, 2018","Standard Class",AC-10615,"Ann Chong",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10004970,"Office Supplies",Binders,26.432,2018,September,9
2154,CA-2017-117282,"Friday, July 14, 2017","Tuesday, July 18, 2017","Standard Class",DR-12880,"Dan Reichenbach",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10004094,"Office Supplies",Binders,14.16,2017,July,7
2180,CA-2017-128818,"Sunday, May 7, 2017","Thursday, May 11, 2017","Standard Class",CJ-12010,"Caroline Jumper",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10000309,"Office Supplies",Binders,85.232,2017,May,5
2463,CA-2018-148691,"Monday, December 3, 2018","Sunday, December 9, 2018","Standard Class",CS-12460,"Chuck Sachs",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10001524,"Office Supplies",Binders,83.92,2018,December,12
2464,CA-2018-148691,"Monday, December 3, 2018","Sunday, December 9, 2018","Standard Class",CS-12460,"Chuck Sachs",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10001553,"Office Supplies",Binders,14.624,2018,December,12
2639,CA-2018-108441,"Tuesday, June 12, 2018","Monday, June 18, 2018","Standard Class",SB-20170,"Sarah Bern",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10000848,"Office Supplies",Binders,13.128,2018,June,6
3025,CA-2016-164441,"Tuesday, November 8, 2016","Sunday, November 13, 2016","Standard Class",AC-10450,"Amy Cox",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10001922,"Office Supplies",Binders,52.272,2016,November,11
3084,CA-2015-100328,"Wednesday, January 28, 2015","Tuesday, February 3, 2015","Standard Class",JC-15340,"Jasper Cacioppo",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10000343,"Office Supplies",Binders,3.928,2015,January,1
3100,CA-2018-131233,"Saturday, April 14, 2018","Thursday, April 19, 2018","Standard Class",CS-12355,"Christine Sundaresam",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10000829,"Office Supplies",Binders,10.776,2018,April,4
3218,CA-2018-104640,"Saturday, November 10, 2018","Friday, November 16, 2018","Standard Class",FH-14275,"Frank Hawley",Corporate,"United States","New York City","New York",10024,East,OFF-BI-10003925,"Office Supplies",Binders,931.176,2018,November,11
3310,CA-2016-144386,"Saturday, November 5, 2016","Friday, November 11, 2016","Standard Class",GT-14635,"Grant Thornton",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10001116,"Office Supplies",Binders,25.344,2016,November,11
3311,CA-2017-111416,"Sunday, September 17, 2017","Friday, September 22, 2017","Standard Class",LW-17215,"Luke Weiss",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10002026,"Office Supplies",Binders,232.4,2017,September,9
3744,CA-2017-137848,"Sunday, January 15, 2017","Saturday, January 21, 2017","Standard Class",WB-21850,"William Brown",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10002225,"Office Supplies",Binders,49.536,2017,January,1
3820,CA-2018-141873,"Tuesday, October 9, 2018","Sunday, October 14, 2018","Standard Class",HG-14845,"Harry Greene",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10001031,"Office Supplies",Binders,12.816,2018,October,10
3823,CA-2018-141873,"Tuesday, October 9, 2018","Sunday, October 14, 2018","Standard Class",HG-14845,"Harry Greene",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10003655,"Office Supplies",Binders,18.24,2018,October,10
3826,CA-2016-140984,"Wednesday, September 14, 2016","Sunday, September 18, 2016","Standard Class",CC-12685,"Craig Carroll",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10002012,"Office Supplies",Binders,12.96,2016,September,9
3942,CA-2018-117863,"Friday, May 18, 2018","Wednesday, May 23, 2018","Standard Class",TS-21340,"Toby Swindell",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10000605,"Office Supplies",Binders,3.048,2018,May,5
3974,CA-2017-167556,"Wednesday, March 29, 2017","Sunday, April 2, 2017","Standard Class",JM-15250,"Janet Martin",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10003708,"Office Supplies",Binders,29.8,2017,March,3
3976,CA-2017-167556,"Wednesday, March 29, 2017","Sunday, April 2, 2017","Standard Class",JM-15250,"Janet Martin",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10000320,"Office Supplies",Binders,41.328,2017,March,3
4092,CA-2017-161473,"Saturday, April 1, 2017","Wednesday, April 5, 2017","Standard Class",TB-21175,"Thomas Boland",Corporate,"United States","New York City","New York",10035,East,OFF-BI-10003305,"Office Supplies",Binders,14.352,2017,April,4
4760,CA-2015-121573,"Tuesday, November 3, 2015","Saturday, November 7, 2015","Standard Class",SG-20605,"Speros Goranitis",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10000666,"Office Supplies",Binders,48.896,2015,November,11
4761,CA-2015-121573,"Tuesday, November 3, 2015","Saturday, November 7, 2015","Standard Class",SG-20605,"Speros Goranitis",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10003712,"Office Supplies",Binders,7.856,2015,November,11
4830,CA-2017-152408,"Monday, May 15, 2017","Sunday, May 21, 2017","Standard Class",TT-21220,"Thomas Thornton",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10002393,"Office Supplies",Binders,13.776,2017,May,5
4863,CA-2017-125164,"Friday, November 10, 2017","Tuesday, November 14, 2017","Standard Class",SH-19975,"Sally Hughsby",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10001191,"Office Supplies",Binders,20.368,2017,November,11
4864,CA-2017-125164,"Friday, November 10, 2017","Tuesday, November 14, 2017","Standard Class",SH-19975,"Sally Hughsby",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10003982,"Office Supplies",Binders,49.848,2017,November,11
4903,CA-2018-110884,"Wednesday, March 7, 2018","Monday, March 12, 2018","Standard Class",SH-20395,"Shahid Hopkins",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10003669,"Office Supplies",Binders,25.92,2018,March,3
4996,CA-2015-132227,"Wednesday, November 4, 2015","Tuesday, November 10, 2015","Standard Class",SZ-20035,"Sam Zeldin","Home Office","United States","New York City","New York",10011,East,OFF-BI-10000962,"Office Supplies",Binders,52.064,2015,November,11
5135,CA-2018-155607,"Monday, November 26, 2018","Friday, November 30, 2018","Standard Class",FG-14260,"Frank Gastineau","Home Office","United States","New York City","New York",10009,East,OFF-BI-10003364,"Office Supplies",Binders,93.344,2018,November,11
5144,CA-2017-111213,"Saturday, April 1, 2017","Wednesday, April 5, 2017","Standard Class",FP-14320,"Frank Preis",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10004140,"Office Supplies",Binders,3.592,2017,April,4
5153,US-2015-121566,"Tuesday, June 30, 2015","Monday, July 6, 2015","Standard Class",CS-11860,"Cari Schnelling",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10004528,"Office Supplies",Binders,2.688,2015,June,6
5178,CA-2017-123015,"Tuesday, December 26, 2017","Saturday, December 30, 2017","Standard Class",AJ-10795,"Anthony Johnson",Corporate,"United States","New York City","New York",10024,East,OFF-BI-10004967,"Office Supplies",Binders,4.992,2017,December,12
5226,CA-2017-119865,"Wednesday, June 21, 2017","Monday, June 26, 2017","Standard Class",AS-10090,"Adam Shillingsburg",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10001553,"Office Supplies",Binders,36.56,2017,June,6
5227,CA-2017-119865,"Wednesday, June 21, 2017","Monday, June 26, 2017","Standard Class",AS-10090,"Adam Shillingsburg",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10003007,"Office Supplies",Binders,186.144,2017,June,6
5332,CA-2017-123120,"Monday, September 4, 2017","Friday, September 8, 2017","Standard Class",CV-12295,"Christina VanderZanden",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10001460,"Office Supplies",Binders,60.6,2017,September,9
5403,CA-2018-123043,"Friday, August 24, 2018","Wednesday, August 29, 2018","Standard Class",AH-10195,"Alan Haines",Corporate,"United States","New York City","New York",10024,East,OFF-BI-10003910,"Office Supplies",Binders,24.672,2018,August,8
5404,CA-2018-123043,"Friday, August 24, 2018","Wednesday, August 29, 2018","Standard Class",AH-10195,"Alan Haines",Corporate,"United States","New York City","New York",10024,East,OFF-BI-10000138,"Office Supplies",Binders,3.744,2018,August,8
5440,CA-2017-167115,"Tuesday, April 4, 2017","Sunday, April 9, 2017","Standard Class",EH-14185,"Evan Henry",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10004600,"Office Supplies",Binders,588.784,2017,April,4
5444,CA-2016-148712,"Sunday, April 17, 2016","Saturday, April 23, 2016","Standard Class",JM-15535,"Jessica Myrick",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10001900,"Office Supplies",Binders,62.296,2016,April,4
5605,CA-2016-142475,"Saturday, December 3, 2016","Wednesday, December 7, 2016","Standard Class",BS-11380,"Bill Stewart",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10003718,"Office Supplies",Binders,590.352,2016,December,12
5736,CA-2015-111773,"Monday, June 29, 2015","Friday, July 3, 2015","Standard Class",JK-15625,"Jim Karlsson",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10000174,"Office Supplies",Binders,13.92,2015,June,6
6098,CA-2018-100111,"Thursday, September 20, 2018","Wednesday, September 26, 2018","Standard Class",SV-20365,"Seth Vernon",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10000343,"Office Supplies",Binders,11.784,2018,September,9
6238,US-2017-155180,"Sunday, January 22, 2017","Sunday, January 29, 2017","Standard Class",TB-21280,"Toby Braunhardt",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10004506,"Office Supplies",Binders,26.336,2017,January,1
6336,CA-2015-133305,"Saturday, July 11, 2015","Wednesday, July 15, 2015","Standard Class",MH-17455,"Mark Hamilton",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10002954,"Office Supplies",Binders,18.28,2015,July,7
6397,CA-2017-129126,"Thursday, December 14, 2017","Tuesday, December 19, 2017","Standard Class",PK-19075,"Pete Kriz",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10000279,"Office Supplies",Binders,23.12,2017,December,12
6510,CA-2018-102197,"Thursday, December 20, 2018","Wednesday, December 26, 2018","Standard Class",DK-13150,"David Kendrick",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10001524,"Office Supplies",Binders,50.352,2018,December,12
6696,US-2017-155103,"Saturday, December 2, 2017","Thursday, December 7, 2017","Standard Class",JF-15190,"Jamie Frazer",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10004318,"Office Supplies",Binders,415.176,2017,December,12
6697,US-2017-155103,"Saturday, December 2, 2017","Thursday, December 7, 2017","Standard Class",JF-15190,"Jamie Frazer",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10004236,"Office Supplies",Binders,35.232,2017,December,12
6748,CA-2018-100230,"Tuesday, December 11, 2018","Saturday, December 15, 2018","Standard Class",AA-10375,"Allen Armold",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10002498,"Office Supplies",Binders,14.952,2018,December,12
6940,CA-2018-107132,"Tuesday, June 26, 2018","Saturday, June 30, 2018","Standard Class",SC-20260,"Scott Cohen",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10001071,"Office Supplies",Binders,102.368,2018,June,6
7011,US-2015-135881,"Saturday, May 23, 2015","Wednesday, May 27, 2015","Standard Class",GT-14710,"Greg Tran",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10000829,"Office Supplies",Binders,17.96,2015,May,5
7027,US-2018-101840,"Tuesday, February 6, 2018","Monday, February 12, 2018","Standard Class",SP-20545,"Sibella Parks",Corporate,"United States","New York City","New York",10024,East,OFF-BI-10000279,"Office Supplies",Binders,46.24,2018,February,2
7034,CA-2017-145548,"Saturday, November 11, 2017","Thursday, November 16, 2017","Standard Class",EB-13750,"Edward Becker",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10001510,"Office Supplies",Binders,55.008,2017,November,11
7035,CA-2017-145548,"Saturday, November 11, 2017","Thursday, November 16, 2017","Standard Class",EB-13750,"Edward Becker",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10004236,"Office Supplies",Binders,35.232,2017,November,11
7041,CA-2018-103443,"Monday, December 17, 2018","Sunday, December 23, 2018","Standard Class",AT-10735,"Annie Thurman",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10001617,"Office Supplies",Binders,24.816,2018,December,12
7114,CA-2017-109666,"Wednesday, April 19, 2017","Wednesday, April 26, 2017","Standard Class",KM-16720,"Kunst Miller",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10000174,"Office Supplies",Binders,9.28,2017,April,4
7236,CA-2017-137337,"Wednesday, March 8, 2017","Sunday, March 12, 2017","Standard Class",GB-14575,"Giulietta Baptist",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10000632,"Office Supplies",Binders,69.456,2017,March,3
7483,CA-2015-113964,"Wednesday, September 23, 2015","Wednesday, September 30, 2015","Standard Class",JP-16135,"Julie Prescott","Home Office","United States","New York City","New York",10011,East,OFF-BI-10004654,"Office Supplies",Binders,18.464,2015,September,9
7553,CA-2015-140396,"Friday, November 20, 2015","Wednesday, November 25, 2015","Standard Class",KH-16330,"Katharine Harms",Corporate,"United States","New York City","New York",10024,East,OFF-BI-10003669,"Office Supplies",Binders,12.96,2015,November,11
7722,CA-2016-108588,"Tuesday, January 5, 2016","Sunday, January 10, 2016","Standard Class",BG-11695,"Brooke Gillingham",Corporate,"United States","New York City","New York",10009,East,OFF-BI-10004506,"Office Supplies",Binders,13.168,2016,January,1
7737,CA-2015-105872,"Saturday, May 30, 2015","Saturday, June 6, 2015","Standard Class",JG-15160,"James Galang",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10003684,"Office Supplies",Binders,70.368,2015,May,5
7894,CA-2018-125367,"Monday, July 23, 2018","Monday, July 30, 2018","Standard Class",NM-18445,"Nathan Mautz","Home Office","United States","New York City","New York",10011,East,OFF-BI-10002412,"Office Supplies",Binders,13.92,2018,July,7
7952,CA-2016-145814,"Saturday, November 19, 2016","Thursday, November 24, 2016","Standard Class",KD-16345,"Katherine Ducich",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10003196,"Office Supplies",Binders,5.984,2016,November,11
8080,US-2017-164945,"Wednesday, November 22, 2017","Monday, November 27, 2017","Standard Class",CA-12055,"Cathy Armstrong","Home Office","United States","New York City","New York",10009,East,OFF-BI-10001524,"Office Supplies",Binders,134.272,2017,November,11
8242,CA-2015-109855,"Tuesday, September 1, 2015","Saturday, September 5, 2015","Standard Class",LH-16900,"Lena Hernandez",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10004716,"Office Supplies",Binders,23.744,2015,September,9
8266,CA-2015-131800,"Wednesday, December 30, 2015","Monday, January 4, 2016","Standard Class",AJ-10960,"Astrea Jones",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10003429,"Office Supplies",Binders,35.448,2015,December,12
8512,CA-2017-103359,"Friday, December 22, 2017","Tuesday, December 26, 2017","Standard Class",LC-16885,"Lena Creighton",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10004233,"Office Supplies",Binders,25.584,2017,December,12
8629,CA-2016-164084,"Wednesday, September 7, 2016","Monday, September 12, 2016","Standard Class",AG-10525,"Andy Gerbode",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10000605,"Office Supplies",Binders,6.096,2016,September,9
8775,CA-2016-132276,"Tuesday, February 23, 2016","Sunday, February 28, 2016","Standard Class",LC-16960,"Lindsay Castell","Home Office","United States","New York City","New York",10024,East,OFF-BI-10002982,"Office Supplies",Binders,10.896,2016,February,2
9203,CA-2017-153836,"Monday, October 30, 2017","Friday, November 3, 2017","Standard Class",EH-13765,"Edward Hooks",Corporate,"United States","New York City","New York",10011,East,OFF-BI-10004817,"Office Supplies",Binders,28.752,2017,October,10
9249,CA-2017-127761,"Friday, November 10, 2017","Tuesday, November 14, 2017","Standard Class",SW-20275,"Scott Williamson",Consumer,"United States","New York City","New York",10009,East,OFF-BI-10002557,"Office Supplies",Binders,3.64,2017,November,11
9270,US-2018-102183,"Tuesday, August 21, 2018","Tuesday, August 28, 2018","Standard Class",PK-19075,"Pete Kriz",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10003476,"Office Supplies",Binders,32.088,2018,August,8
9271,US-2018-102183,"Tuesday, August 21, 2018","Tuesday, August 28, 2018","Standard Class",PK-19075,"Pete Kriz",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10001359,"Office Supplies",Binders,4305.552,2018,August,8
9311,US-2017-102141,"Saturday, August 26, 2017","Thursday, August 31, 2017","Standard Class",KD-16615,"Ken Dana",Corporate,"United States","New York City","New York",10024,East,OFF-BI-10001510,"Office Supplies",Binders,146.688,2017,August,8
9536,CA-2017-116596,"Friday, October 27, 2017","Tuesday, October 31, 2017","Standard Class",BW-11200,"Ben Wallace",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10002949,"Office Supplies",Binders,9.728,2017,October,10
9631,CA-2017-168844,"Wednesday, May 31, 2017","Tuesday, June 6, 2017","Standard Class",NM-18520,"Neoma Murray",Consumer,"United States","New York City","New York",10011,East,OFF-BI-10002609,"Office Supplies",Binders,7.152,2017,May,5
9657,CA-2015-156160,"Tuesday, September 22, 2015","Tuesday, September 29, 2015","Standard Class",AS-10090,"Adam Shillingsburg",Consumer,"United States","New York City","New York",10035,East,OFF-BI-10003355,"Office Supplies",Binders,3.984,2015,September,9
9724,CA-2015-101364,"Tuesday, December 22, 2015","Saturday, December 26, 2015","Standard Class",TW-21025,"Tamara Willingham","Home Office","United States","New York City","New York",10011,East,OFF-BI-10003984,"Office Supplies",Binders,296.712,2015,December,12
16,US-2016-118983,"Tuesday, November 22, 2016","Saturday, November 26, 2016","Standard Class",HP-14815,"Harold Pawlan","Home Office","United States","Fort Worth",Texas,76106,Central,OFF-BI-10000756,"Office Supplies",Binders,2.544,2016,November,11
96,US-2018-109484,"Tuesday, November 6, 2018","Monday, November 12, 2018","Standard Class",RB-19705,"Roger Barcio","Home Office","United States",Portland,Oregon,97206,West,OFF-BI-10004738,"Office Supplies",Binders,5.682,2018,November,11
102,CA-2017-158568,"Tuesday, August 29, 2017","Saturday, September 2, 2017","Standard Class",RB-19465,"Rick Bensley","Home Office","United States",Chicago,Illinois,60610,Central,OFF-BI-10002609,"Office Supplies",Binders,1.788,2017,August,8
234,US-2018-100930,"Saturday, April 7, 2018","Thursday, April 12, 2018","Standard Class",CS-12400,"Christopher Schild","Home Office","United States",Tampa,Florida,33614,South,OFF-BI-10001679,"Office Supplies",Binders,5.328,2018,April,4
307,CA-2015-111003,"Monday, June 1, 2015","Saturday, June 6, 2015","Standard Class",CR-12625,"Corey Roper","Home Office","United States",Lakewood,"New Jersey",8701,East,OFF-BI-10001072,"Office Supplies",Binders,45.48,2015,June,6
395,CA-2018-102946,"Saturday, June 30, 2018","Thursday, July 5, 2018","Standard Class",VP-21730,"Victor Preis","Home Office","United States","Las Vegas",Nevada,89115,West,OFF-BI-10004492,"Office Supplies",Binders,75.792,2018,June,6
430,US-2017-123750,"Saturday, April 15, 2017","Friday, April 21, 2017","Standard Class",RB-19795,"Ross Baird","Home Office","United States",Gastonia,"North Carolina",28052,South,OFF-BI-10004584,"Office Supplies",Binders,189.588,2017,April,4
465,CA-2017-109869,"Saturday, April 22, 2017","Saturday, April 29, 2017","Standard Class",TN-21040,"Tanja Norvell","Home Office","United States",Phoenix,Arizona,85023,West,OFF-BI-10000315,"Office Supplies",Binders,28.485,2017,April,4
719,CA-2015-104472,"Tuesday, June 2, 2015","Sunday, June 7, 2015","Standard Class",CK-12325,"Christine Kargatis","Home Office","United States",Orem,Utah,84057,West,OFF-BI-10001658,"Office Supplies",Binders,59.808,2015,June,6
735,CA-2018-131954,"Sunday, January 21, 2018","Thursday, January 25, 2018","Standard Class",DS-13030,"Darrin Sayre","Home Office","United States",Seattle,Washington,98115,West,OFF-BI-10003982,"Office Supplies",Binders,99.696,2018,January,1
736,CA-2018-131954,"Sunday, January 21, 2018","Thursday, January 25, 2018","Standard Class",DS-13030,"Darrin Sayre","Home Office","United States",Seattle,Washington,98115,West,OFF-BI-10003291,"Office Supplies",Binders,27.936,2018,January,1
738,CA-2018-131954,"Sunday, January 21, 2018","Thursday, January 25, 2018","Standard Class",DS-13030,"Darrin Sayre","Home Office","United States",Seattle,Washington,98115,West,OFF-BI-10000138,"Office Supplies",Binders,18.72,2018,January,1
742,CA-2015-112326,"Sunday, January 4, 2015","Thursday, January 8, 2015","Standard Class",PO-19195,"Phillina Ober","Home Office","United States",Naperville,Illinois,60540,Central,OFF-BI-10004094,"Office Supplies",Binders,3.54,2015,January,1
879,US-2015-158638,"Thursday, September 17, 2015","Monday, September 21, 2015","Standard Class",AG-10765,"Anthony Garverick","Home Office","United States",Philadelphia,Pennsylvania,19120,East,OFF-BI-10003712,"Office Supplies",Binders,5.892,2015,September,9
888,CA-2018-150707,"Sunday, October 14, 2018","Friday, October 19, 2018","Standard Class",EL-13735,"Ed Ludwig","Home Office","United States",Columbia,Maryland,21044,East,OFF-BI-10001078,"Office Supplies",Binders,37.66,2018,October,10
935,CA-2017-140081,"Tuesday, June 20, 2017","Saturday, June 24, 2017","Standard Class",CG-12040,"Catherine Glotzbach","Home Office","United States",Philadelphia,Pennsylvania,19120,East,OFF-BI-10004826,"Office Supplies",Binders,29.718,2017,June,6
962,CA-2016-160059,"Sunday, November 27, 2016","Thursday, December 1, 2016","Standard Class",TB-21190,"Thomas Brumley","Home Office","United States",Fayetteville,Arkansas,72701,South,OFF-BI-10000145,"Office Supplies",Binders,6.24,2016,November,11
1070,US-2016-150161,"Monday, July 25, 2016","Friday, July 29, 2016","Standard Class",RB-19795,"Ross Baird","Home Office","United States",Philadelphia,Pennsylvania,19143,East,OFF-BI-10001524,"Office Supplies",Binders,25.176,2016,July,7
1097,CA-2018-160423,"Sunday, January 21, 2018","Friday, January 26, 2018","Standard Class",PS-19045,"Penelope Sewall","Home Office","United States",Charlotte,"North Carolina",28205,South,OFF-BI-10004001,"Office Supplies",Binders,35.784,2018,January,1
1456,CA-2018-148474,"Tuesday, June 12, 2018","Tuesday, June 19, 2018","Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Columbus,Georgia,31907,South,OFF-BI-10000977,"Office Supplies",Binders,91.2,2018,June,6
1476,CA-2017-113138,"Sunday, November 19, 2017","Saturday, November 25, 2017","Standard Class",NP-18685,"Nora Pelletier","Home Office","United States","Niagara Falls","New York",14304,East,OFF-BI-10000320,"Office Supplies",Binders,17.712,2017,November,11
2005,US-2018-143028,"Wednesday, April 11, 2018","Wednesday, April 18, 2018","Standard Class",SC-20050,"Sample Company A","Home Office","United States",Lubbock,Texas,79424,Central,OFF-BI-10004738,"Office Supplies",Binders,11.364,2018,April,4
